Benchmark, CYCLES, HLS_execution_time, 
CLANG11:adpcm_O0:main_0, 23693,92.9400000000000000022,
CLANG11:adpcm_O1:main_0, 23693,91.7799999999999999989,
CLANG11:adpcm_O2:main_0, 10071,147.809999999999999998,
CLANG11:adpcm_O3:main_0, 8719,183.690000000000000002,
CLANG11:adpcm_O3_inline:main_0, 8719,183.960000000000000006,
CLANG11:adpcm_Os:main_0, 22063,97.5100000000000000019,
CLANG6:adpcm_O0:main_0, 23443,91.2099999999999999992,
CLANG6:adpcm_O1:main_0, 23443,93.6999999999999999972,
CLANG6:adpcm_O2:main_0, 17804,124.870000000000000002,
CLANG6:adpcm_O3:main_0, 17804,129.610000000000000001,
CLANG6:adpcm_O3_inline:main_0, 17804,127.849999999999999999,
CLANG6:adpcm_O3_vectorize:main_0, 17804,126.870000000000000002,
CLANG6:adpcm_Os:main_0, 22013,105.059999999999999998,
GCC49:adpcm_O0:main_0, 33479,64.3799999999999999975,
GCC49:adpcm_O1:main_0, 24297,57.0900000000000000001,
GCC49:adpcm_O2:main_0, 22863,83.5299999999999999989,
GCC49:adpcm_O3:main_0, 9149,175.929999999999999993,
GCC49:adpcm_O3_inline:main_0, 5356,210.619999999999999996,
GCC49:adpcm_O3_vectorize:main_0, 6135,110.809999999999999998,
GCC49:adpcm_Os:main_0, 24397,68.4499999999999999972,
GCC7:adpcm_O0:main_0, 32979,46.5,
GCC7:adpcm_O1:main_0, 24297,47.0299999999999999989,
GCC7:adpcm_O2:main_0, 21513,80.2399999999999999981,
GCC7:adpcm_O3:main_0, 7653,152.220000000000000001,
GCC7:adpcm_O3_inline:main_0, 5003,136.25,
GCC7:adpcm_O3_vectorize:main_0, 8235,97.4300000000000000003,
GCC7:adpcm_Os:main_0, 24397,58.2000000000000000007,
