Benchmark, CYCLES, HLS_execution_time, 
CLANG11:adpcm_O0:main_0, 23643,43.0299999999999999989,
CLANG11:adpcm_O1:main_0, 23643,43.8199999999999999997,
CLANG11:adpcm_O2:main_0, 9651,61.9900000000000000015,
CLANG11:adpcm_O3:main_0, 8855,70.1500000000000000014,
CLANG11:adpcm_Os:main_0, 21593,49.4599999999999999992,
CLANG6:adpcm_O0:main_0, 23393,44.1500000000000000014,
CLANG6:adpcm_O1:main_0, 23393,42.9500000000000000007,
CLANG6:adpcm_O2:main_0, 17392,62.4700000000000000011,
CLANG6:adpcm_O3:main_0, 17392,62.5200000000000000004,
CLANG6:adpcm_Os:main_0, 21543,54.5099999999999999985,
GCC49:adpcm_O0:main_0, 33429,23.0499999999999999993,
GCC49:adpcm_O1:main_0, 24547,18.7199999999999999994,
GCC49:adpcm_O2:main_0, 24043,43.2599999999999999985,
GCC49:adpcm_O3:main_0, 10429,76.4499999999999999972,
GCC49:adpcm_O3_inline:main_0, 7503,99.5800000000000000017,
GCC49:adpcm_O3_vectorize:main_0, 6995,49.3100000000000000012,
GCC49:adpcm_Os:main_0, 24847,25.2099999999999999992,
GCC7:adpcm_O0:main_0, 34015,15.8599999999999999997,
GCC7:adpcm_O1:main_0, 24933,16.9500000000000000007,
GCC7:adpcm_O2:main_0, 22526,40.7200000000000000011,
GCC7:adpcm_O3:main_0, 8345,51.0699999999999999997,
GCC7:adpcm_O3_inline:main_0, 5441,59.3400000000000000001,
GCC7:adpcm_O3_vectorize:main_0, 8765,32.6100000000000000006,
GCC7:adpcm_Os:main_0, 25033,27.2199999999999999994,
